Name,State
SRI KINJARAPU YERRAN NAIDU COLLEGE OF AGRICULTURAL SCIENCES,Andhra Pradesh
"Sri Venkateswara Ayurvedic College, Tirupati",Andhra Pradesh
"Pedanandipadu College of Arts and Sciences, Pedanandipadu",Andhra Pradesh
"SRI ADI SHIVA SADGURU ALLI SAHEB SIVAARYULA HOMEOPATHY MEDICAL COLLEGE, GUNTAKAL",Andhra Pradesh
"Ravindra Bharathi College of Education, Chirala",Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, PONDURU",Andhra Pradesh
"Repalle Christian College of Education, Repalle",Andhra Pradesh
Rangumudri M.Ed. College,Andhra Pradesh
Rangumudri Appalaswamy Naidu Physical Education College,Andhra Pradesh
"Dr. Zakir Hussain College of Education, Mulukuduru, Ponnur",Andhra Pradesh
"Hindu College of Education, Guntur",Andhra Pradesh
"COLLEGE OF VETERINARY SCIENCE, GARIVIDI",Andhra Pradesh
"Krishnaveni Degree College, Vinukonda",Andhra Pradesh
JMJ COLLEGE OF NURSING,Andhra Pradesh
ANANTHA DEGREE COLLEGE,Andhra Pradesh
RAJA RATNA COLLEGE OF NURSING,Andhra Pradesh
RRGR Degree College,Andhra Pradesh
R C REDDY DEGREE COLLEGE,Andhra Pradesh
"Shankar Reddy Institute of Pharmaceutical Sciences, Bestavaripeta (M),  PIN-523346(CC-9K)",Andhra Pradesh
Govt. Degree College (Girls),Andhra Pradesh
"Dr.K.V.Subba Reddy Institute of Technology, Kurnool",Andhra Pradesh
S.K.B.R. P.G. COLLEGE,Andhra Pradesh
KMR INSTITUTE OF MEDICAL SCIENCES NANDIGAMA,Andhra Pradesh
"Rayapati Venkata Ranga Rao College of Education, Guntur",Andhra Pradesh
"S.A.B.R. Govt. Degree College, Repalle",Andhra Pradesh
"Sri Kakatiya Degree College, Pedakurapadu",Andhra Pradesh
"Sadineni Chowdaraiah College of Arts & Science, Maddirala",Andhra Pradesh
"Vemu Institute of  Technology, Chittoor",Andhra Pradesh
ANOOP DEGREE COLLEGE,Andhra Pradesh
"SIMS College of Pharmacy, Guntur",Andhra Pradesh
SIDDI DEGREE COLLEGE,Andhra Pradesh
"Kasu Brahmananda Reddy Degree College, Narasaraopeta",Andhra Pradesh
"Newtons Institute of Science & Technology, Alugurajupalli Village, Koppunur Post, Macherla Mandal,PIN-522426(CC-9H)",Andhra Pradesh
"Mother Theresa Institute of Management, Palamaner",Andhra Pradesh
BEHARA COLLEGE OF NURSING,Andhra Pradesh
"Bapatla Engineering College, Bapatla",Andhra Pradesh
"N.N.S Vidya Degree College, Chirala",Andhra Pradesh
